Valår,Kod,Kommun,Styre,M,C,L,KD,S,V,MP,SD,ÖP
1994,114,Upplands väsby,V,,,,,S,V,,,
1994,115,Vallentuna,B,M,C,,KD,,,,,
1994,117,Österåker,BL,,,L,,S,,,,
1994,120,Värmdö,B,M,C,L,,,,MP,,
1994,123,Järfälla,V,,,,,S,V,MP,,
1994,125,Ekerö,B,M,C,L,KD,,,,,
1994,126,Huddinge,V,,,,,S,V,MP,,
1994,127,Botkyrka,V,,,,,S,V,MP,,
1994,128,Salem,B,M,C,L,KD,,,,,
1994,136,Haninge,BL,,,L,,S,,,,
1994,138,Tyresö,V,,,,,S,V,MP,,
1994,139,Upplands-Bro,V,,,,,S,V,,,
1994,140,Nykvarn,Ännu inte bildad,,,,,,,,,
1994,160,Täby,B,M,C,,KD,,,,,ÖP
1994,162,Danderyd,B,M,,,KD,,,,,
1994,163,Sollentuna,B,M,C,L,KD,,,,,
1994,180,Stockholm,V,,,,,S,V,MP,,
1994,181,Södertälje,V,,,,,S,V,,,
1994,182,Nacka,B,M,,L,,,,,,
1994,183,Sundbyberg,V,,,,,S,V,,,
1994,184,Solna,V,,,,,S,V,MP,,
1994,186,Lidingö,B,M,,,,,,,,
1994,187,Vaxholm,B,M,C,L,,,,,,
1994,188,Norrtälje,V,,,,,S,V,MP,,
1994,191,Sigtuna,V,,,,,S,V,MP,,
1994,192,Nynäshamn,V,,,,,S,V,MP,,
1994,305,Håbo,BL,,C,,,S,V,MP,,
1994,319,Älvkarleby,V,,,,,S,V,,,
1994,331,Heby,V,,,,,S,V,MP,,
1994,360,Tierp,V,,,,,S,,,,
1994,380,Uppsala,V,,,,,S,V,MP,,
1994,381,Enköping,V,,,,,S,V,MP,,
1994,382,Östhammar,V,,,,,S,V,,,
1994,428,Vingåker,V,,,,,S,,,,
1994,461,Gnesta,BL,,C,,,S,,,,
1994,480,Nyköping,V,,,,,S,,,,
1994,481,Oxelösund,V,,,,,S,,,,
1994,482,Flen,V,,,,,S,V,,,
1994,483,Katrineholm,V,,,,,S,,,,
1994,484,Eskilstuna,V,,,,,S,,,,
1994,486,Strängnäs,B,M,C,L,KD,,,,,ÖP
1994,488,Trosa,V,,,,,S,V,MP,,
1994,509,Ödeshög,BL,,,,,,,,,
1994,512,Ydre,BL,,,,,,,,,
1994,513,Kinda,V,,,,,S,,,,ÖP
1994,560,Boxholm,V,,,,,S,,,,
1994,561,Åtvidaberg,V,,,,,S,,,,
1994,562,Finspång,V,,,,,S,,,,
1994,563,Valdemarsvik,B,M,C,L,KD,,,,,
1994,580,Linköping,BL,,C,,,S,,,,
1994,581,Norrköping,V,,,,,S,,,,
1994,582,Söderköping,B,M,C,L,KD,,,,,
1994,583,Motala,V,,,,,S,,,,
1994,584,Vadstena,BL,,C,,,S,,,,
1994,586,Mjölby,BL,,C,,,S,,,,
1994,604,Aneby,B,M,C,L,KD,,,,,
1994,617,Gnosjö,A,M,C,L,KD,,,,,
1994,642,Mullsjö,B,M,C,L,KD,,,,,
1994,643,Habo,B,M,C,L,KD,,,,,
1994,662,Gislaved,BL,,C,,,S,,MP,,
1994,665,Vaggeryd,B,M,C,L,KD,,,,,
1994,680,Jönköping,BL,,C,,,S,,,,
1994,682,Nässjö,BL,,C,L,,S,,,,
1994,683,Värnamo,B,M,C,,KD,,,,,
1994,684,Sävsjö,B,M,C,,KD,,,,,
1994,685,Vetlanda,B,M,C,L,KD,,,,,
1994,686,Eksjö,BL,,,,,,,,,
1994,687,Tranås,V,,,,,S,,,,
1994,760,Uppvidinge,V,,,,,S,V,,,
1994,761,Lessebo,V,,,,,S,,,,
1994,763,Tingsryd,B,M,C,L,KD,,,,,
1994,764,Alvesta,BL,,C,,,S,,,,
1994,765,Älmhult,V,,,,,S,V,MP,,
1994,767,Markaryd,BL,M,C,L,KD,S,,,,
1994,780,Växjö,V,,,,,S,V,MP,,
1994,781,Ljungby,BL,,C,L,,S,,,,
1994,821,Högsby,B,M,C,L,KD,,,MP,,
1994,834,Torsås,B,M,C,L,KD,,,MP,,
1994,840,Mörbylånga,B,M,C,L,KD,,,MP,,
1994,860,Hultsfred,V,,,,,S,V,,,
1994,861,Mönsterås,B,M,C,L,KD,,,,,
1994,862,Emmaboda,V,,,,,S,V,,,
1994,880,Kalmar,V,,,,,S,V,,,
1994,881,Nybro,V,,,,,S,V,,,
1994,882,Oskarshamn,V,,,,,S,,,,
1994,883,Västervik,V,,,,,S,,,,
1994,884,Vimmerby,B,M,C,L,KD,,,,,
1994,885,Borgholm,BL,M,,,,S,,,,
1994,980,Gotland,V,,,,,S,V,MP,,
1994,1060,Olofström,V,,,,,S,,,,
1994,1080,Karlskrona,V,,,,,S,V,,,
1994,1081,Ronneby,V,,,,,S,V,,,
1994,1082,Karlshamn,V,,,,,S,,,,
1994,1083,Sölvesborg,V,,,,,S,,,,
1994,1214,Svalöv,V,,,,,S,,MP,,
1994,1230,Staffanstorp,BL,,,L,,S,,,,
1994,1231,Burlöv,V,,,,,S,,,,
1994,1233,Vellinge,B,M,,,,,,,,
1994,1256,Östra Göinge,V,,,,,S,,,,
1994,1257,Örkelljunga,B,M,C,L,KD,,,,,
1994,1260,Bjuv,V,,,,,S,,,,
1994,1261,Kävlinge,V,,,,,S,,,,
1994,1262,Lomma,B,M,C,L,KD,,,,,
1994,1263,Svedala,BL,,,L,,S,,MP,,
1994,1264,Skurup,V,,,,,S,,,,
1994,1265,Sjöbo,B,M,C,L,,,,,,ÖP
1994,1266,Hörby,B,M,C,L,KD,,,,,
1994,1267,Höör,B,M,,L,KD,,,,,
1994,1270,Tomelilla,BL,,,L,,S,,MP,,
1994,1272,Bromölla,V,,,,,S,,,,
1994,1273,Osby,V,,,,,S,,,,ÖP
1994,1275,Perstorp,V,,,,,S,V,,,
1994,1276,Klippan,BL,,,L,,S,,,,
1994,1277,Åstorp,V,,,,,S,,,,
1994,1278,Båstad,BL,,C,L,,S,,,,
1994,1280,Malmö,V,,,,,S,,,,
1994,1281,Lund,V,,,,,S,V,MP,,
1994,1282,Landskrona,V,,,,,S,,,,
1994,1283,Helsingborg,V,,,,,S,V,,,
1994,1284,Höganäs,BL,,,L,,S,V,MP,,
1994,1285,Eslöv,V,,,,,S,,,,
1994,1286,Ystad,V,,,,,S,V,MP,,
1994,1287,Trelleborg,V,,,,,S,,,,
1994,1290,Kristianstad,V,,,,,S,,,,
1994,1291,Simrishamn,BL,,C,,,S,,,,
1994,1292,Ängelholm,B,M,C,L,,,,,,
1994,1293,Hässleholm,BL,,C,,,S,,,,
1994,1315,Hylte,BL,,C,,,S,,,,
1994,1380,Halmstad,V,,,,,S,V,,,
1994,1381,Laholm,B,M,C,L,KD,,,,,ÖP
1994,1382,Falkenberg,V,,,,,S,,MP,,ÖP
1994,1383,Varberg,V,,,,,S,V,MP,,
1994,1384,Kungsbacka,BL,,,,,,,,,
1994,1401,Härryda,BL,,C,,,S,V,MP,,
1994,1402,Partille,V,,,,,S,V,MP,,
1994,1407,Öckerö,B,M,C,L,KD,,,,,
1994,1415,Stenungsund,BL,,C,,,S,V,MP,,
1994,1419,Tjörn,BL,M,,,,S,,,,
1994,1421,Orust,BL,,C,L,,S,,,,
1994,1427,Sotenäs,BL,,C,,KD,S,V,MP,,
1994,1430,Munkedal,BL,,,,,,,,,
1994,1435,Tanum,B,M,C,L,KD,,,,,
1994,1438,Dals-Ed,B,M,C,L,KD,,,,,
1994,1439,Färgelanda,BL,M,,L,KD,S,,,,
1994,1440,Ale,V,,,,,S,,,,
1994,1441,Lerum,B,M,C,L,KD,,,MP,,
1994,1442,Vårgårda,BL,,,,,,,,,
1994,1443,Bollebygd,BL,,,L,KD,S,,MP,,
1994,1444,Grästorp,B,M,C,,,,,,,
1994,1445,Essunga,B,M,C,L,KD,,,,,
1994,1446,Karlsborg,BL,,C,,KD,,,,,
1994,1447,Gullspång,V,,,,,S,V,,,
1994,1452,Tranemo,B,M,C,L,KD,,,,,
1994,1460,Bengtsfors,V,,,,,S,,,,ÖP
1994,1461,Mellerud,BL,,,,,,,,,
1994,1462,Lilla Edet,V,,,,,S,V,,,
1994,1463,Mark,V,,,,,S,V,,,
1994,1465,Svenljunga,V,,,,,S,,,,
1994,1466,Herrljunga,BL,,,,,,,,,
1994,1470,Vara,B,M,C,L,KD,,,,,
1994,1471,Götene,B,M,C,L,KD,,,,,
1994,1472,Tibro,B,M,C,L,KD,,,,,
1994,1473,Töreboda,BL,M,,L,KD,S,,,,
1994,1480,Göteborg,V,,,,,S,V,MP,,
1994,1481,Mölndal,V,,,,,S,V,MP,,
1994,1482,Kungälv,V,,,,,S,V,MP,,
1994,1484,Lysekil,V,,,,,S,,,,
1994,1485,Uddevalla,V,,,,,S,,,,
1994,1486,Strömstad,B,M,C,L,,,,,,
1994,1487,Vänersborg,V,,,,,S,V,MP,,
1994,1488,Trollhättan,V,,,,,S,,,,
1994,1489,Alingsås,V,,,,,S,V,MP,,
1994,1490,Borås,V,,,,,S,,,,
1994,1491,Ulricehamn,BL,,,L,KD,S,,MP,,
1994,1492,Åmål,V,,,,,S,,,,
1994,1493,Mariestad,V,,,,,S,V,,,
1994,1494,Lidköping,V,,,,,S,V,,,
1994,1495,Skara,V,,,,,S,,MP,,
1994,1496,Skövde,B,M,C,L,KD,,,,,
1994,1497,Hjo,BL,M,C,L,KD,S,,MP,,
1994,1498,Tidaholm,V,,,,,S,V,,,
1994,1499,Falköping,B,M,C,L,KD,,,,,
1994,1715,Kil,BL,,,,,,,,,
1994,1730,Eda,V,,,,,S,V,,,
1994,1737,Torsby,V,,,,,S,V,,,
1994,1760,Storfors,V,,,,,S,V,,,
1994,1761,Hammarö,V,,,,,S,,,,
1994,1762,Munkfors,V,,,,,S,,,,
1994,1763,Forshaga,V,,,,,S,,,,
1994,1764,Grums,V,,,,,S,,,,
1994,1765,Årjäng,B,M,C,L,KD,,,,,
1994,1766,Sunne,B,M,C,L,KD,,,,,
1994,1780,Karlstad,BL,,C,L,,S,,,,
1994,1781,Kristinehamn,V,,,,,S,,,,
1994,1782,Filipstad,V,,,,,S,,,,
1994,1783,Hagfors,V,,,,,S,,,,
1994,1784,Arvika,V,,,,,S,,,,
1994,1785,Säffle,BL,,,,,,,,,
1994,1814,Lekeberg,BL,,C,,,S,,,,
1994,1860,Laxå,BL,,C,,,S,,,,
1994,1861,Hallsberg,V,,,,,S,,,,
1994,1862,Degerfors,V,,,,,S,,,,
1994,1863,Hällefors,V,,,,,S,V,,,
1994,1864,Ljusnarsberg,V,,,,,S,,,,
1994,1880,Örebro,V,,,,,S,V,,,
1994,1881,Kumla,V,,,,,S,,,,
1994,1882,Askersund,V,,,,,S,,,,
